episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
0,0,0.09015355259180072,0.44900739949213936,1,5.0,20
0,1,-0.050630648434162116,0.45512729722389716,2,10.0,20
0,0,-0.0230229541659355,0.5955621059189117,0,0.0,20
0,1,-0.05464162826538084,0.4611404240553312,2,10.0,20
40,0,0.19820582270622253,0.4033686652269016,0,0.0,20
40,1,-0.40605938956141474,0.35841688386781295,1,5.0,20
40,0,0.24790410101413726,0.3376365474653309,1,5.0,20
40,1,-0.3553932887502015,0.3416768695275338,3,15.0,20
80,0,-0.16130447313189505,0.48537000360607485,2,10.0,20
80,1,-0.4343452280387282,0.3021396003006376,2,10.0,20
80,0,-0.09026114791631697,0.42907359769931075,1,5.0,20
80,1,-0.37922761049121617,0.3292115553604596,2,10.0,20
120,0,0.07039841711521151,0.4396174101786436,1,5.0,20
120,1,-0.32721765637397765,0.3775548981720325,2,10.0,20
120,0,0.1925789624452591,0.4407909619300667,1,5.0,20
120,1,-0.3257728495635092,0.3518448040901756,3,15.0,20
160,0,0.42659233212471,0.32113159772669664,1,5.0,20
160,1,-0.33959439024329185,0.3717033559033556,2,10.0,20
160,0,0.420613133907318,0.315754605173618,3,15.0,20
160,1,-0.3754327639937401,0.3225329021104953,1,5.0,20
200,0,0.43098071217536915,0.3579448839525519,1,5.0,20
200,1,-0.16061532981693744,0.3359333029882695,2,10.0,20
200,0,0.3869881123304366,0.3575901170519694,0,0.0,20
200,1,-0.3329324085265398,0.37737574058095075,0,0.0,20
240,0,0.2961001768708229,0.33762203163528287,3,15.0,20
240,1,-0.17043698653578757,0.35995289643502637,3,15.0,20
240,0,0.2845650061964989,0.3022332586511325,1,5.0,20
240,1,-0.14675578549504278,0.39471587207961395,2,10.0,20
280,0,-0.023514226824045154,0.2979443009114247,1,5.0,20
280,1,-0.31931300535798074,0.376154243254477,1,5.0,20
280,0,0.05512285083532333,0.451513493066632,1,5.0,20
280,1,-0.2767695337533951,0.3076102326407397,2,10.0,20
320,0,0.3441552624106407,0.288026119437645,1,5.0,20
320,1,-0.17484311461448668,0.3500539158505197,3,15.0,20
320,0,0.3508471429347992,0.28082183746337996,4,20.0,20
320,1,-0.07836208119988439,0.3840087071965808,0,0.0,20
360,0,0.29774453192949296,0.34851244339598925,1,5.0,20
360,1,-0.22716680243611337,0.2657134020836435,5,25.0,20
360,0,0.3513061836361885,0.24821272293544844,2,10.0,20
360,1,-0.263484051823616,0.3158706500978267,1,5.0,20
400,0,0.3405222102999687,0.23893091987790954,2,10.0,20
400,1,-0.33536806628108023,0.39958112494345116,1,5.0,20
400,0,0.3146496593952179,0.2340998622667261,3,15.0,20
400,1,-0.31281639374792575,0.36086676557613273,3,15.0,20
440,0,0.23497660160064698,0.2820969813636965,4,20.0,20
440,1,-0.12116447538137434,0.35548629674501037,6,30.0,20
440,0,0.29668487757444384,0.2932977937011081,3,15.0,20
440,1,-0.20626613199710847,0.39434329723117983,3,15.0,20
480,0,0.34039089977741244,0.3149451114079403,1,5.0,20
480,1,-0.11993038132786749,0.3953387846913307,3,15.0,20
480,0,0.23751075118780135,0.2580567027097652,3,15.0,20
480,1,-0.07433077096939085,0.406736489507657,3,15.0,20
520,0,0.29514591097831727,0.34410165813664495,2,10.0,20
520,1,0.035447096079587966,0.39668443573668516,2,10.0,20
520,0,0.16894189119338993,0.2188419788224058,2,10.0,20
520,1,-0.1042493864893913,0.3897195312515219,3,15.0,20
560,0,0.3719764366745949,0.25282766802500145,3,15.0,20
560,1,-0.39069363232702015,0.22516252858969593,0,0.0,20
560,0,0.3108190506696701,0.2529972316954795,2,10.0,20
560,1,-0.367940191924572,0.2733808637139019,1,5.0,20
600,0,0.2804635614156723,0.3022832246421125,2,10.0,20
600,1,-0.10826072096824643,0.2795173408002007,0,0.0,20
600,0,0.29867894351482394,0.293877639862447,1,5.0,20
600,1,-0.19184098988771436,0.2822648781383179,2,10.0,20
640,0,0.3565098524093628,0.3522639123657399,1,5.0,20
640,1,-0.13992259614169594,0.25919841995914805,3,15.0,20
640,0,0.24151051342487334,0.31898528311031465,3,15.0,20
640,1,-0.17353340610861775,0.24881101983348788,3,15.0,20
680,0,0.18011810630559924,0.3655689083655692,2,10.0,20
680,1,-0.4671692231670022,0.29134499752902143,1,5.0,20
